,Title,Authors,Abstract,Citation,URL
0,Bench press exercise: the key points.,"Padulo J, Laffaye G, Chaouachi A, Chamari K.","The bench press exercise (BPE) is receiving increasing interest as a field testing, training/therapeutic modality to improve neuromuscular performance or to increase bone mass density. Several studies have been performed using BPE as a standard for increasing upper-limb strength. For this purpose, the position of the bar, the loads, the sets, the number of repetitions, the recovery time in-between sets, the movement speed, the muscular work and the use of the determination of the one repetition maximum (1-RM) are the classical tools investigated in the literature that have been shown to affect the BPE effect on neuromuscular. The goal of the present short review is to make a picture of the current knowledge on the bench press exercise, which could be very helpful for a better understanding of this standard movement and its effects. Based on the related literature, several recommendations on these key points are presented here.
",J Sports Med Phys Fitness. 2015 Jun;55(6):604-8. Epub 2014 May 13.,https://pubmed.ncbi.nlm.nih.gov/24823345/
1,A systematic review of surface electromyography analyses of the bench press movement task.,"Stastny P, Gołaś A, Blazek D, Maszczyk A, Wilk M, Pietraszewski P, Petr M, Uhlir P, Zając A.","Background:
        
      
      The bench press exercise (BP) plays an important role in recreational and professional training, in which muscle activity is an important multifactorial phenomenon. The objective of this paper is to systematically review electromyography (EMG) studies performed on the barbell BP exercise to answer the following research questions: Which muscles show the greatest activity during the flat BP? Which changes in muscle activity are related to specific conditions under which the BP movement is performed?
Strategy:
        
      
      PubMed, Scopus, Web of Science and Cochrane Central Register of Controlled Trials (CENTRAL) in the Cochrane Library were searched through June 10, 2016. A combination of the following search terms was used: bench press, chest press, board press, test, measure, assessment, dynamometer, kinematics and biomechanics. Only original, full-text articles were considered.
Results:
        
      
      The search process resulted in 14 relevant studies that were included in the discussion. The triceps brachii (TB) and pectoralis major (PM) muscles were found to have similar activity during the BP, which was significantly higher than the activity of the anterior deltoid. During the BP movement, muscle activity changes with exercise intensity, velocity of movement, fatigue, mental focus, movement phase and stability conditions, such as bar vibration or unstable surfaces. Under these circumstances, TB is the most common object of activity change.
Conclusions:
        
      
      PM and TB EMG activity is more dominant and shows greater EMG amplitude than anterior deltoid during the BP. There are six factors that can influence muscle activity during the BP; however, the most important factor is exercise intensity, which interacts with all other factors. The research on muscle activity in the BP has several unresolved areas, such as clearly and strongly defined guidelines to perform EMG measurements (e.g., how to elaborate with surface EMG limits) or guidelines for the use of exact muscle models.
",PLoS One. 2017 Feb 7;12(2):e0171632. doi: 10.1371/journal.pone.0171632. eCollection 2017.,https://pubmed.ncbi.nlm.nih.gov/28170449/
2,"Effect of Five Bench Inclinations on the Electromyographic Activity of the Pectoralis Major, Anterior Deltoid, and Triceps Brachii during the Bench Press Exercise.","Rodríguez-Ridao D, Antequera-Vique JA, Martín-Fuentes I, Muyor JM.","The bench press exercise is one of the most used for training and for evaluating upper-body strength. The aim of the current study was to evaluate the electromyographic (EMG) activity levels of the pectoralis major (PM) in its three portions (upper portion, PMUP, middle portion, PMMP, and lower portion, PMLP), the anterior deltoid (AD), and the triceps brachii (TB) medial head during the bench press exercise at five bench angles (0°, 15°, 30°, 45°, and 60°). Thirty trained adults participated in the study. The EMG activity of the muscles was recorded at the aforementioned inclinations at 60% of one-repetition maximum (1RM). The results showed that the maximal EMG activity for PMUP occurred at a bench inclination of 30°. PMMP and PMLP showed higher EMG activity at a 0° bench inclination. AD had the highest EMG activity at 60°. TB showed similar EMG activities at all bench inclinations. In conclusion, the horizontal bench press produces similar electromyographic activities for the pectoralis major and the anterior deltoid. An inclination of 30° produces greater activation of the upper portion of the pectoralis major. Inclinations greater than 45° produce significantly higher activation of the anterior deltoid and decrease the muscular performance of the pectoralis major.
Keywords:
        
      
      EMG; chest press; fitness; muscle activity; resistance exercise; strength.
",Int J Environ Res Public Health. 2020 Oct 8;17(19):7339. doi: 10.3390/ijerph17197339.,https://pubmed.ncbi.nlm.nih.gov/33049982/
3,The Effects of Bench Press Variations in Competitive Athletes on Muscle Activity and Performance.,"Saeterbakken AH, Mo DA, Scott S, Andersen V.","The aim of the study was to compare the EMG activity performing 6RM competition style bench press (flat bench-wide grip) with 1) medium and narrow grip widths on a flat bench and 1) inclined and declined bench positions with a wide grip. Twelve bench press athletes competing at national and international level participated in the study. EMG activity was measured in the pectoralis major, anterior and posterior deltoid, biceps brachii, triceps brachii and latissimus dorsi. Non-significant differences in activation were observed between the three bench positions with the exception of 58.5-62.6% lower triceps brachii activation, but 48.3-68.7% greater biceps brachii activation in the inclined bench compared with the flat and declined bench position. Comparing the three grip widths, non-significant differences in activations were observed, with the exception of 25.9-30.5% lower EMG activity in the biceps brachii using a narrow grip, compared to the medium and wide grip conditions. The 6-RM loads were 5.8-11.1% greater using a medium and wide grip compared to narrow grip width and 18.5-21.5% lower in the inclined bench position compared with flat and declined. Comparing the EMG activity during the competition bench press style with either the inclined and declined bench position (wide grip) or using a narrow and medium grip (flat bench), only resulted in different EMG activity in the biceps- and triceps brachii. The 6RM loads varied with each bench press variation and we recommend the use of a wide grip on a flat bench during high load hypertrophy training to bench press athletes.
Keywords:
        
      
      Resistance; performance; strength; training.
",J Hum Kinet. 2017 Jun 22;57:61-71. doi: 10.1515/hukin-2017-0047. eCollection 2017 Jun.,https://pubmed.ncbi.nlm.nih.gov/28713459/
4,Push-Ups vs. Bench Press Differences in Repetitions and Muscle Activation between Sexes.,"Alizadeh S, Rayner M, Mahmoud MMI, Behm DG.","Push-ups are an ubiquitous resistance training exercise. While exhibiting a relatively similar upper body motion to the bench press, there are substantial differences in repetitions when employing similar relative loads. The objective was to examine sex-related differences in repetitions and muscle activation associated with push-ups and bench press exercises. Twenty resistance-trained participants (10 men [22 ± 6.1 years] and 10 [24 ± 5.7 years] women) performed maximum push-up and bench press repetitions with loads relative to the body mass during a push-up. Electromyographic (EMG) electrodes were positioned on the middle and anterior deltoids, triceps and biceps brachii, and pectoralis major muscles and their relative (normalized to a maximum voluntary contraction) activity was compared between the two exercises performed to task failure. Both females (3.5 ± 3.9 vs.15.5 ± 8.0 repetitions; p = 0.0008) and males (12.0 ± 6.3 vs. 25.6 ± 5.2 repetitions; p < 0.0001) performed 77.4% and 53.1% less bench press than push-up repetitions respectively. Males significantly exceeded females with both push-ups (p = 0.01) and bench press (p = 0.004) repetitions. Significant linear regression equations were found for females (r2 = 0.55; p = 0.03), and males (r2 = 0.66; p < 0.0001) indicating that bench press repetitions increased 0.36 and 0.97 for each push-up repetition for females and males respectively. Triceps (p = 0.002) and biceps brachii (p = 0.03) EMG mean amplitude was significantly lower during the push-up concentric phase, while the anterior deltoid (p = 0.03) exhibited less activity during the bench press eccentric phase. The sex disparity in repetitions during these exercises indicates that a push-up provides a greater challenge for women than men and regression equations may be helpful for both sexes when formulating training programs.
Keywords:
        
      
      Electromyography; females; gender; muscle endurance; resistance training.
",J Sports Sci Med. 2020 May 1;19(2):289-297. eCollection 2020 Jun.,https://pubmed.ncbi.nlm.nih.gov/32390722/
5,Understanding Bench Press Biomechanics-The Necessity of Measuring Lateral Barbell Forces.,"Mausehund L, Werkhausen A, Bartsch J, Krosshaug T.","Mausehund, L, Werkhausen, A, Bartsch, J, and Krosshaug, T. Understanding bench press biomechanics-The necessity of measuring lateral barbell forces. J Strength Cond Res XX(X): 000-000, 2020-The purpose of this study was to advance the expertise of the bench press exercise by complementing electromyographic (EMG) with net joint moment (NJM) and strength normalized NJM (nNJM) measurements, thus establishing the magnitude of the elbow and shoulder muscular loads and efforts. Normalized NJMs were determined as the ratio of the bench press NJMs to the maximum NJMs produced during maximum voluntary isokinetic contractions. Furthermore, we wanted to assess how changes in grip width and elbow positioning affected elbow and shoulder NJMs and nNJMs, and muscle activity of the primary movers. Thirty-five strength-trained adults performed a 6-8 repetition maximum set of each bench press variation, while elbow and shoulder NJMs and EMG activity of 7 upper extremity muscles were recorded. The results show that all bench press variations achieved high elbow and shoulder muscular efforts. A decrease in grip width induced larger elbow NJMs, and larger EMG activity of the lateral head of the triceps brachii, anterior deltoid, and clavicular head of the pectoralis major (p ≤ 0.05). An increase in grip width elicited larger shoulder NJMs and nNJMs, and larger EMG activity of the abdominal head of the pectoralis major (p ≤ 0.05). In conclusion, all bench press variations may stimulate strength gains and hypertrophy of the elbow extensors and shoulder flexors and horizontal adductors. However, greater adaptations of the elbow extensors and shoulder flexors may be expected when selecting narrower grip widths, whereas wider grip widths may induce greater adaptations of the shoulder horizontal adductors.
",J Strength Cond Res. 2021 Feb 4. doi: 10.1519/JSC.0000000000003948. Online ahead of print.,https://pubmed.ncbi.nlm.nih.gov/33555823/
6,Low-load bench press and push-up induce similar muscle hypertrophy and strength gain.,"Kikuchi N, Nakazato K.","Aim:
        
      
      To investigate the effect of push-up training with a similar load of to 40% of 1- repetition maximumal (1RM) bench press on muscle hypertrophy and strength gain in men.
Methods:
        
      
      Eighteen male participants (age, 20.2 ± 0.73 years, range: 19-22 years, height: 169.8 ± 4.4 cm, weight: 64.5 ± 4.7 kg) were randomly assigned to one of two experimental groups: bench press at 40%1RM (bench-press group, n = 9) or push-ups with position adjusted (e.g. kneeling) to the same load of bench-press 40%1RM (push-up group, n = 9), performed twice per week for 8 weeks. Muscle thickness at three sites (biceps, triceps, and pectoralis major), bench-press 1RM, maximum repetition at 40%1RM, and power output (medicine ball throw) were measured before and after the training period.
Results:
        
      
      Significant increases in 1RM and muscle thickness (triceps and pectoralis major) were observed in bench-press group (1RM, from 60.0 ± 12.1 kg to 65.0 ± 12.1 kg, p < 0.01; triceps, from 26.3 ± 3.7 mm to 27.8 ± 3.8 mm, p < 0.01; pectoralis major, from 17.0 ± 2.8 mm to 20.8 ± 4.8 mm, p < 0.01) and in the push-up group (1RM, from 61.1 ± 12.2 kg to 64.2 ± 12.5 kg, p < 0.01; triceps, 27.7 ± 5.7 mm to 30.4 ± 6.6 mm, p < 0.01; pectoralis major, from 17.0 ± 2.8 mm to 20.8 ± 4.8 mm, p < 0.01). Biceps thickness significantly increased only in the bench-press group (28.4 ± 3.3 mm to 31.5 ± 3.7 mm, p < 0.01). Neither power output performance nor muscle endurance capacity changed in either group.
Conclusions:
        
      
      Push-up exercise with similar load to 40%1RM bench press is comparably effective for muscle hypertrophy and strength gain over an 8-week training period.
Keywords:
        
      
      1 repetition maximal; Bodyweight training; Exercise load; Muscle thickness.
",J Exerc Sci Fit. 2017 Jun;15(1):37-42. doi: 10.1016/j.jesf.2017.06.003. Epub 2017 Jun 29.,https://pubmed.ncbi.nlm.nih.gov/29541130/
7,Influence of bench angle on upper extremity muscular activation during bench press exercise.,"Lauver JD, Cayot TE, Scheuermann BW.","This study compared the muscular activation of the pectoralis major, anterior deltoid and triceps brachii during a free-weight barbell bench press performed at 0°, 30°, 45° and -15° bench angles. Fourteen healthy resistance trained males (age 21.4 ± 0.4 years) participated in this study. One set of six repetitions for each bench press conditions at 65% one repetition maximum were performed. Surface electromyography (sEMG) was utilised to examine the muscular activation of the selected muscles during the eccentric and concentric phases. In addition, each phase was subdivided into 25% contraction durations, resulting in four separate time points for comparison between bench conditions. The sEMG of upper pectoralis displayed no difference during any of the bench conditions when examining the complete concentric contraction, however differences during 26-50% contraction duration were found for both the 30° [122.5 ± 10.1% maximal voluntary isometric contraction (MVIC)] and 45° (124 ± 9.1% MVIC) bench condition, resulting in greater sEMG compared to horizontal (98.2 ± 5.4% MVIC) and -15 (96.1 ± 5.5% MVIC). The sEMG of lower pectoralis was greater during -15° (100.4 ± 5.7% MVIC), 30° (86.6 ± 4.8% MVIC) and horizontal (100.1 ± 5.2% MVIC) bench conditions compared to the 45° (71.9 ± 4.5% MVIC) for the whole concentric contraction. The results of this study support the use of a horizontal bench to achieve muscular activation of both the upper and lower heads of the pectoralis. However, a bench incline angle of 30° or 45° resulted in greater muscular activation during certain time points, suggesting that it is important to consider how muscular activation is affected at various time points when selecting bench press exercises.
Keywords:
        
      
      Resistance training; electromyography; muscular activation.
",Eur J Sport Sci. 2016;16(3):309-16. doi: 10.1080/17461391.2015.1022605. Epub 2015 Mar 23.,https://pubmed.ncbi.nlm.nih.gov/25799093/
8,Understanding Bench Press Biomechanics-Training Expertise and Sex Affect Lifting Technique and Net Joint Moments.,"Mausehund L, Krosshaug T.","Mausehund, L and Krosshaug, T. Understanding bench press biomechanics-Training expertise and sex affect lifting technique and net joint moments. J Strength Cond Res XX(X): 000-000, 2021-The purpose of this study was to compare normalized net joint moments (NJMs), moment arms, and muscle activity in the bench press exercise between powerlifters and recreationally strength-trained lifters and between women and men. Thirty-four healthy adults, including 12 powerlifters (6 women and 6 men) and 22 recreational lifters (9 women and 13 men), performed a 6-8 repetition maximum set of the bench press, while elbow and shoulder NJMs and moment arms and electromyographic (EMG) activity of 6 upper extremity muscles were recorded. The results showed that training expertise and sex affected bench press technique substantially. Powerlifters applied a different bar path which impacted joint kinematics to a greater extent and joint kinetics to a lesser extent. Specifically, powerlifters had lower normalized peak elbow NJMs and shorter joint ROMs than recreational lifters (p <= 0.05), yet no differences in normalized shoulder NJMs and muscle activity were observed. Women showed lower normalized mean shoulder NJMs, higher normalized peak elbow NJMs, and higher mean elbow to shoulder NJM ratios than men (p <= 0.05). The muscle activity of the long head of the triceps brachii and the elbow to shoulder EMG ratio were higher, yet muscle activity of the sternocostal and abdominal head of the pectoralis major was lower for female than for male subjects (p <= 0.05). In conclusion, powerlifters and men are more shoulder dominant when performing the bench press than recreational lifters and women, respectively. These findings will have implications for resistance training program design, expected training adaptations and bench press performance.
",J Strength Cond Res. 2021 Dec 23. doi: 10.1519/JSC.0000000000004191. Online ahead of print.,https://pubmed.ncbi.nlm.nih.gov/35157403/
9,Squat and Bench Press Force-Velocity Profiling in Male and Female Adolescent Rugby Players.,"Alonso-Aubin DA, Chulvi-Medrano I, Cortell-Tormo JM, Picón-Martínez M, Rial Rebullido T, Faigenbaum AD.","Alonso-Aubin, DA, Chulvi-Medrano, I, Cortell-Tormo, JM, Picón-Martínez, M, Rial-Rebullido, T, and Faigenbaum, AD. Squat and bench press force-velocity profiling in male and female adolescent rugby players. J Strength Cond Res 35(2S): S44-S50, 2021-Power development is critical for enhancing rugby performance because there is a close relationship between power and sport-specific skills. The aim of this study was to examine the force-velocity profiling generated by adolescent rugby players in the squat and bench press exercises and to compare sex-related differences. Subjects were 46 men (age: 14.48 ± 1.31 years; body height: 1.65 ± 0.09 m; and body mass: 58.07 ± 13.01 kg) and 41 women (age: 14.93 ± 2.76 years; body height: 1.63 ± 0.12 m; and body mass: 59.23 ± 12.66 kg) who were recruited from a national amateur rugby league team. Maximal strength, power, and velocity were assessed on the squat and bench press exercises using a Smith Machine and a linear power transducer with intensities ranging from 40 to 80% 1 repetition maximum (1RM) on the squat and 50-80% 1RM on the bench press. 1 repetition maximum squat and bench press performance were 104.26 ± 30.83 and 46.97 ± 13.59 kg, respectively, for men and 115.17 ± 41.42 and 45.85 ± 16.71 kg, respectively, for women. The maximum squat power results for men and women were 521.91 ± 298.75 and 591.26 ± 352.69 W, respectively, and the maximum bench press power results for men and women were 190.26 ± 150.54 and 326.16 ± 195.57 W, respectively. Significant sex-related differences (p < 0.001) were found on the squat exercise for maximum (40%), mean (40-50%), and time to maximum velocities (40-80%) as well as time to maximum power (80%). On the bench press exercise, significant sex-related differences (p < 0.001) were found for power and time to maximum velocity (40%-60%-70%-80%). These results may aid in the design of strength and conditioning programs for adolescent rugby players by targeting training prescriptions toward enhancing strength or velocity.
",J Strength Cond Res. 2021 Feb 1;35(Suppl 1):S44-S50. doi: 10.1519/JSC.0000000000003336.,https://pubmed.ncbi.nlm.nih.gov/31490425/
