,Title,Authors,Abstract,Citation,URL
0,Cycle training induces muscle hypertrophy and strength gain: strategies and mechanisms.,"Ozaki H, Loenneke JP, Thiebaud RS, Abe T.","Cycle training is widely performed as a major part of any exercise program seeking to improve aerobic capacity and cardiovascular health. However, the effect of cycle training on muscle size and strength gain still requires further insight, even though it is known that professional cyclists display larger muscle size compared to controls. Therefore, the purpose of this review is to discuss the effects of cycle training on muscle size and strength of the lower extremity and the possible mechanisms for increasing muscle size with cycle training. It is plausible that cycle training requires a longer period to significantly increase muscle size compared to typical resistance training due to a much slower hypertrophy rate. Cycle training induces muscle hypertrophy similarly between young and older age groups, while strength gain seems to favor older adults, which suggests that the probability for improving in muscle quality appears to be higher in older adults compared to young adults. For young adults, higher-intensity intermittent cycling may be required to achieve strength gains. It also appears that muscle hypertrophy induced by cycle training results from the positive changes in muscle protein net balance. Keywords:                    aerobic exercise; cycling; ergometer; lower body; muscular adaptation. ",Acta Physiol Hung. 2015 Mar;102(1):1-22. doi: 10.1556/APhysiol.102.2015.1.1.,https://pubmed.ncbi.nlm.nih.gov/25804386/
1,Equating Resistance-Training Volume Between Programs Focused on Muscle Hypertrophy.,"Nunes JP, Kassiano W, Costa BDV, Mayhew JL, Ribeiro AS, Cyrino ES.","Calculating resistance-training volume in programs focused on muscle hypertrophy is an attempt to quantify the external workload carried out, then to estimate the dose of stimulus imposed on targeted muscles. The volume is usually expressed in some variables that directly affected the total training work, such as the number of sets, repetitions, and volume-load. These variables are used to try to quantify the training work easily, for the subsequent organization and prescription of training programs. One of the main uses of measures of volume quantification is seen in studies in which the purpose is to compare the effects of different training protocols on muscle growth in a volume-equated format. However, it seems that not all measures of volume are always appropriate for equating training protocols. In the current paper, it is discussed what training volume is and the potentials and shortcomings of each one of the most common ways to equate it between groups depending on the independent variable to be compared (e.g., weekly frequency, intensity of load, and advanced techniques). ",Sports Med. 2021 Jun;51(6):1171-1178. doi: 10.1007/s40279-021-01449-2. Epub 2021 Apr 7.,https://pubmed.ncbi.nlm.nih.gov/33826122/
2,A review of resistance training-induced changes in skeletal muscle protein synthesis and their contribution to hypertrophy.,"Damas F, Phillips S, Vechin FC, Ugrinowitsch C.","Muscle protein synthesis (MPS) is stimulated by resistance exercise (RE) and is further stimulated by protein ingestion. The summation of periods of RE-induced increases in MPS can induce hypertrophy chronically. As such, studying the response of MPS with resistance training (RT) is informative, as adaptations in this process can modulate muscle mass gain. Previous studies have shown that the amplitude and duration of increases in MPS after an acute bout of RE are modulated by an individual's training status. Nevertheless, it has been shown that the initial responses of MPS to RE and nutrition are not correlated with subsequent hypertrophy. Thus, early acute responses of MPS in the hours after RE, in an untrained state, do not capture how MPS can affect RE-induced muscle hypertrophy. The purpose of this review is provide an in-depth understanding of the dynamic process of muscle hypertrophy throughout RT by examining all of the available data on MPS after RE and in different phases of an RT programme. Analysis of the time course and the overall response of MPS is critical to determine the potential protein accretion after an RE bout. Exercise-induced increases in MPS are shorter lived and peak earlier in the trained state than in the untrained state, resulting in a smaller overall muscle protein synthetic response in the trained state. Thus, RT induces a dampening of the MPS response, potentially limiting protein accretion, but when this occurs remains unknown. ",Sports Med. 2015 Jun;45(6):801-7. doi: 10.1007/s40279-015-0320-0.,https://pubmed.ncbi.nlm.nih.gov/25739559/
3,Effects of resistance training performed to repetition failure or non-failure on muscular strength and hypertrophy: A systematic review and meta-analysis.,"Grgic J, Schoenfeld BJ, Orazem J, Sabol F.","Purpose:                    We aimed to perform a systematic review and meta-analysis of the effects of training to muscle failure or non-failure on muscular strength and hypertrophy. Methods:                    Meta-analyses of effect sizes (ESs) explored the effects of training to failure vs. non-failure on strength and hypertrophy. Subgroup meta-analyses explored potential moderating effects of variables such as training status (trained vs. untrained), training volume (volume equated vs. volume non-equated), body region (upper vs. lower), exercise selection (multi- vs. single-joint exercises (only for strength)), and study design (independent vs. dependent groups). Results:                    Fifteen studies were included in the review. All studies included young adults as participants. Meta-analysis indicated no significant difference between the training conditions for muscular strength (ES = -0.09, 95% confidence interval (95%CI): -0.22 to 0.05) and for hypertrophy (ES = 0.22, 95%CI: -0.11 to 0.55). Subgroup analyses that stratified the studies according to body region, exercise selection, or study design showed no significant differences between training conditions. In studies that did not equate training volume between the groups, the analysis showed significant favoring of non-failure training on strength gains (ES = -0.32, 95%CI: -0.57 to -0.07). In the subgroup analysis for resistance-trained individuals, the analysis showed a significant effect of training to failure for muscle hypertrophy (ES = 0.15, 95%CI: 0.03-0.26). Conclusion:                    Training to muscle failure does not seem to be required for gains in strength and muscle size. However, training in this manner does not seem to have detrimental effects on these adaptations, either. More studies should be conducted among older adults and highly trained individuals to improve the generalizability of these findings. Keywords:                    1RM; Cross-sectional area; Data synthesis; Muscle size. ",J Sport Health Sci. 2022 Mar;11(2):202-211. doi: 10.1016/j.jshs.2021.01.007. Epub 2021 Jan 23.,https://pubmed.ncbi.nlm.nih.gov/33497853/
4,Does stretch training induce muscle hypertrophy in humans? A review of the literature.,"Nunes JP, Schoenfeld BJ, Nakamura M, Ribeiro AS, Cunha PM, Cyrino ES.","Stretch training is widely used in a variety of fitness-related capacities such as increasing joint range of motion, preventing contractures and alleviating injuries. Moreover, some researches indicate that stretch training may induce muscle hypertrophy; however, studies on the topic have been primarily relegated to animal and in vitro models. The purpose of this brief review was to evaluate whether stretch training is a viable strategy to induce muscle hypertrophy in humans. An extensive literature search was performed using PubMed/MEDLINE, SciELO and Scopus databases, using terms related to stretching and muscle hypertrophy. Only human trials that evaluated changes in measures of muscle size or architecture following training protocols that it was performed stretching exercises were selected for inclusion. Of the 10 studies identified, 3 observed some significantly positive effects of stretch training on muscle structure. Intriguingly, in these studies, the stretching was carried out with an apparatus that aided in its performance, or with an external overload. In all studies, the subjects performed stretching at their own self-determined range of motion, and no effect was observed. Of the 5 available studies that integrated stretching into a resistance training programme, 2 applied the stretching in the interset rest period and were the ones that showed enhanced muscle growth. In conclusion, passive, low-intensity stretch does not appear to confer beneficial changes in muscle size and architecture; alternatively, albeit limited evidence suggests that when stretching is done with a certain degree of tensile strain (particularly when loaded, or added between active muscle contractions) may elicit muscle hypertrophy. Keywords:                    fascicle length; flexibility; muscle thickness; pennation angle; protein synthesis; resistance training; stretching. ",Clin Physiol Funct Imaging. 2020 May;40(3):148-156. doi: 10.1111/cpf.12622. Epub 2020 Feb 5.,https://pubmed.ncbi.nlm.nih.gov/31984621/
5,The Influence of Movement Tempo During Resistance Training on Muscular Strength and Hypertrophy Responses: A Review.,"Wilk M, Zajac A, Tufano JJ.","Hypertrophy and strength are two common long-term goals of resistance training that are mediated by the manipulation of numerous variables. One training variable that is often neglected but is essential to consider for achieving strength and hypertrophy gains is the movement tempo of particular repetitions. Although research has extensively investigated the effects of different intensities, volumes, and rest intervals on muscle growth, many of the present hypertrophy guidelines do not account for different movement tempos, likely only applying to volitional movement tempos. Changing the movement tempo during the eccentric and concentric phases can influence acute exercise variables, which form the basis for chronic adaptive changes to resistance training. To further elaborate on the already unclear anecdotal evidence of different movement tempos on muscle hypertrophy and strength development, one must acknowledge that the related scientific research does not provide equivocal evidence. Furthermore, there has been no assessment of the impact of duration of particular movement phases (eccentric vs. concentric) on chronic adaptations, making it difficult to draw definitive conclusions in terms of resistance-training recommendations. Therefore, the purpose of this review is to explain how variations in movement tempo can affect chronic adaptive changes. This article provides an overview of the available scientific data describing the impact of movement tempo on hypertrophy and strength development with a thorough analysis of changes in duration of particular phases of movement. Additionally, the review provides movement tempo-specific recommendations as well real training solutions for strength and conditioning coaches and athletes, depending on their goals. ",Sports Med. 2021 Aug;51(8):1629-1650. doi: 10.1007/s40279-021-01465-2. Epub 2021 May 27.,https://pubmed.ncbi.nlm.nih.gov/34043184/
6,Effects of Resistance Training Performed with Different Loads in Untrained and Trained Male Adult Individuals on Maximal Strength and Muscle Hypertrophy: A Systematic Review.,"Lacio M, Vieira JG, Trybulski R, Campos Y, Santana D, Filho JE, Novaes J, Vianna J, Wilk M.","The load in resistance training is considered to be a critical variable for neuromuscular adaptations. Therefore, it is important to assess the effects of applying different loads on the development of maximal strength and muscular hypertrophy. The aim of this study was to systematically review the literature and compare the effects of resistance training that was performed with low loads versus moderate and high loads in untrained and trained healthy adult males on the development of maximal strength and muscle hypertrophy during randomized experimental designs. The Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines (2021) were followed with the eligibility criteria defined according to participants, interventions, comparators, outcomes, and study design (PICOS): (P) healthy males between 18 and 40 years old, (I) interventions performed with low loads, (C) interventions performed with moderate or high loads, (O) development of maximal strength and muscle hypertrophy, and (S) randomized experimental studies with between- or within-subject parallel designs. The literature search strategy was performed in three electronic databases (Embase, PubMed, and Web of Science) on 22 August 2021. Results: Twenty-three studies with a total of 563 participants (80.6% untrained and 19.4% trained) were selected. The studies included both relative and absolute loads. All studies were classified as being moderate-to-high methodological quality, although only two studies had a score higher than six points. The main findings indicated that the load magnitude that was used during resistance training influenced the dynamic strength and isometric strength gains. In general, comparisons between the groups (i.e., low, moderate, and high loads) showed higher gains in 1RM and maximal voluntary isometric contraction when moderate and high loads were used. In contrast, regarding muscle hypertrophy, most studies showed that when resistance training was performed to muscle failure, the load used had less influence on muscle hypertrophy. The current literature shows that gains in maximal strength are more pronounced with high and moderate loads compared to low loads in healthy adult male populations. However, for muscle hypertrophy, studies indicate that a wide spectrum of loads (i.e., 30 to 90% 1RM) may be used for healthy adult male populations. Keywords:                    adult male; high load; low load; morphological adaptations; strength training. ",Int J Environ Res Public Health. 2021 Oct 26;18(21):11237. doi: 10.3390/ijerph182111237.,https://pubmed.ncbi.nlm.nih.gov/34769755/
7,Different Foot Positioning During Calf Training to Induce Portion-Specific Gastrocnemius Muscle Hypertrophy.,"Nunes JP, Costa BDV, Kassiano W, Kunevaliki G, Castro-E-Souza P, Rodacki ALF, Fortes LS, Cyrino ES.","Nunes, JP, Costa, BDV, Kassiano, W, Kunevaliki, G, Castro-e-Souza, P, Rodacki, ALF, Fortes, LS, and Cyrino, ES. Different foot positioning during calf training to induce portion-specific gastrocnemius muscle hypertrophy. J Strength Cond Res 34(8): 2347-2351, 2020-The aim of this study was to compare the changes in gastrocnemius muscle thickness (MT) between conditions such as which foot was pointed outward (FPO), foot was pointed inward (FPI), or foot was pointed forward (FPF). Twenty-two young men (23 ± 4 years) were selected and performed a whole-body resistance training program 3 times per week for 9 weeks, with differences in the exercise specific for calves. The calf-raise exercise was performed unilaterally, in a pin-loaded seated horizontal leg-press machine, in 3 sets of 20-25 repetitions for training weeks 1-3 and 4 sets for weeks 4-9. Each subject's leg was randomly assigned for 1 of the 3 groups according to the foot position: FPO, FPI, and FPF. Measurements with a B-mode ultrasound were performed to assess changes in MT of medial and lateral gastrocnemius heads. After the training period, there were observed increases in MT of both medial (FPO = 8.4%, FPI = 3.8%, and FPF = 5.8%) and lateral (FPO = 5.5%, FPI = 9.1%, and FPF = 6.4%) gastrocnemius heads, and significant differences for magnitude of the gains were observed between FPO and FPI conditions (p < 0.05). Positioning FPO potentiated the increases in MT of the medial gastrocnemius head, whereas FPI provided greater gains for the lateral gastrocnemius head. Our results suggest that head-specific muscle hypertrophy may be obtained selectively for gastrocnemius after 9 weeks of calf training in young male adults. ",J Strength Cond Res. 2020 Aug;34(8):2347-2351. doi: 10.1519/JSC.0000000000003674.,https://pubmed.ncbi.nlm.nih.gov/32735428/
8,"Effects of training, detraining, and retraining on strength, hypertrophy, and myonuclear number in human skeletal muscle.","Psilander N, Eftestøl E, Cumming KT, Juvkam I, Ekblom MM, Sunding K, Wernbom M, Holmberg HC, Ekblom B, Bruusgaard JC, Raastad T, Gundersen K.","Previously trained mouse muscles acquire strength and volume faster than naïve muscles; it has been suggested that this is related to increased myonuclear density. The present study aimed to determine whether a previously strength-trained leg (mem-leg) would respond better to a period of strength training than a previously untrained leg (con-leg). Nine men and 10 women performed unilateral strength training (T1) for 10 wk, followed by 20 wk of detraining (DT) and a 5-wk bilateral retraining period (T2). Muscle biopsies were taken before and after each training period and analyzed for myonuclear number, fiber volume, and cross-sectional area (CSA). Ultrasound and one repetition of maximum leg extension were performed to determine muscle thickness (MT) and strength. CSA (~17%), MT (~10%), and strength (~20%) increased during T1 in the mem-leg. However, the myonuclear number and fiber volume did not change. MT and CSA returned to baseline values during DT, but strength remained elevated (~60%), supporting previous findings of a long-lasting motor learning effect. MT and strength increased similarly in the mem-leg and con-leg during T2, whereas CSA, fiber volume, and myonuclear number remained unaffected. In conclusion, training response during T2 did not differ between the mem-leg and con-leg. However, this does not discount the existence of human muscle memory, since no increase in the number of myonuclei was detected during T1 and no clear detraining effect was observed for cell size during DT; thus, the present data did not allow for a rigorous test of the muscle memory hypothesis. NEW & NOTEWORTHY If a long-lasting intramuscular memory exists in humans, this will affect strength-training advice for both athletes and the public. Based on animal experiments, we hypothesized that such a memory exists and that it is related to the myonuclear number. However, a period of unilateral strength training, followed by detraining, did not increase the myonuclear number. The training response, during a subsequent bilateral retraining period, was not enhanced in the previously trained leg. Keywords:                    CSA; exercise; motor learning; muscle memory; myonuclei. ",J Appl Physiol (1985). 2019 Jun 1;126(6):1636-1645. doi: 10.1152/japplphysiol.00917.2018. Epub 2019 Apr 11.,https://pubmed.ncbi.nlm.nih.gov/30991013/
9,Early skeletal muscle hypertrophy and architectural changes in response to high-intensity resistance training.,"Seynnes OR, de Boer M, Narici MV.","The onset of whole muscle hypertrophy in response to overloading is poorly documented. The purpose of this study was to assess the early changes in muscle size and architecture during a 35-day high-intensity resistance training (RT) program. Seven young healthy volunteers performed bilateral leg extension three times per week on a gravity-independent flywheel ergometer. Cross-sectional area (CSA) in the central (C) and distal (D) regions of the quadriceps femoris (QF), muscle architecture, maximal voluntary contraction (MVC), and electromyographic (EMG) activity were measured before and after 10, 20, and 35 days of RT. By the end of the training period, MVC and EMG activity increased by 38.9 +/- 5.7 and 34.8% +/- 4.7%, respectively. Significant increase in QF CSA (3.5 and 5.2% in the C and D regions, respectively) was observed after 20 days of training, along with a 2.4 +/- 0.7% increase in fascicle length from the 10th day of training. By the end of the 35-day training period, the total increase in QF CSA for regions C and D was 6.5 +/- 1.1 and 7.4 +/- 0.8%, respectively, and fascicle length and pennation angle increased by 9.9 +/- 1.2 and 7.7 +/- 1.3%, respectively. The results show for the first time that changes in muscle size are detectable after only 3 wk of RT and that remodeling of muscle architecture precedes gains in muscle CSA. Muscle hypertrophy seems to contribute to strength gains earlier than previously reported; flywheel training seems particularly effective for inducing these early structural adaptations. ",J Appl Physiol (1985). 2007 Jan;102(1):368-73. doi: 10.1152/japplphysiol.00789.2006. Epub 2006 Oct 19.,https://pubmed.ncbi.nlm.nih.gov/17053104/
